asset_id,cohort_start_date,entry_month,vehicle_class,monthly_km,engine_hours_per_month,load_factor,temperature_exposure,prior_repairs,service_delay_days,route_severity,preventive_maintenance_score,duration_months,event
VH-00001,2022-01-31,1,Heavy,2609.1,57.1,0.709,0.3014,2,3.1,0.6783,0.8687,68.1702,0
VH-00002,2022-10-28,10,Medium,5088.0,86.6,0.8351,0.39,0,13.4,0.1962,0.9264,5.1642,1
VH-00003,2022-07-30,7,Heavy,4671.5,90.4,0.7166,0.2573,0,3.7,0.5083,0.8004,39.2616,0
VH-00004,2023-01-26,13,Medium,5065.7,98.2,0.5462,0.1749,1,2.1,0.6452,0.5238,22.6489,1
VH-00005,2022-01-31,1,Light,5207.4,111.0,0.6997,0.417,0,11.1,0.1736,0.7046,54.6132,0
VH-00006,2023-02-25,14,Heavy,3099.5,75.2,0.7998,0.789,0,3.3,0.6303,0.7594,36.5949,1
VH-00007,2023-05-26,17,Heavy,3036.7,95.2,0.8423,0.4117,1,4.0,0.4008,0.4186,9.0936,1
VH-00008,2023-04-26,16,Heavy,5572.4,102.4,0.8582,0.3546,1,6.0,0.3741,0.715,27.7572,1
VH-00009,2022-05-31,5,Light,3556.0,71.8,0.5733,0.2538,2,20.3,0.6312,0.9167,54.4539,0
VH-00010,2023-01-26,13,Medium,800.0,20.0,0.9087,0.192,0,8.2,0.7886,0.9505,70.5186,0
VH-00011,2023-11-22,23,Medium,5473.1,102.6,0.7125,0.5247,1,5.4,0.5796,0.6096,21.5101,1
VH-00012,2022-07-30,7,Heavy,2945.6,66.9,0.485,0.3792,0,8.0,0.716,0.7616,62.7373,0
VH-00013,2022-07-30,7,Medium,5200.7,115.6,0.8513,0.3424,1,8.2,0.7097,0.9078,29.7203,1
VH-00014,2022-09-28,9,Heavy,6589.2,119.2,0.6216,0.5009,2,3.8,0.2713,0.9658,48.1348,0
VH-00015,2022-01-01,0,Medium,4525.1,100.8,0.8888,0.4026,1,5.9,0.5653,0.6143,43.4166,1
VH-00016,2023-05-26,17,Light,5993.6,115.1,0.8145,0.2773,1,12.4,0.8409,0.8203,58.0472,0
VH-00017,2022-05-31,5,Medium,4730.7,105.3,0.907,0.4138,1,3.2,0.2869,0.6164,29.4349,0
VH-00018,2023-08-24,20,Light,6881.1,172.0,0.8108,0.8146,1,1.3,0.3614,0.8955,18.5367,1
VH-00019,2023-09-23,21,Heavy,2906.8,71.5,0.8987,0.5078,0,3.0,0.8196,0.6135,19.7414,1
VH-00020,2022-05-31,5,Medium,4487.7,102.4,0.5569,0.3681,1,5.5,0.7171,0.5295,54.7748,0
VH-00021,2022-05-01,4,Heavy,5509.7,114.5,0.8103,0.4715,0,7.6,0.4126,0.4963,38.6391,1
VH-00022,2023-06-25,18,Medium,4214.4,94.7,0.9045,0.1743,1,3.0,0.5103,0.6021,28.5082,1
VH-00023,2022-07-30,7,Heavy,6228.3,146.9,0.5575,0.2458,1,7.2,0.9253,0.6857,28.0746,0
VH-00024,2022-10-28,10,Heavy,3851.9,92.6,0.8855,0.4899,1,7.7,0.3746,0.8887,67.524,0
VH-00025,2022-09-28,9,Heavy,7604.1,167.5,0.5604,0.3669,0,3.5,0.2603,0.7092,47.9592,0
VH-00026,2023-05-26,17,Light,7683.3,174.0,0.5563,0.2405,0,14.4,0.6959,0.7586,34.975,0
VH-00027,2022-05-31,5,Medium,4923.1,89.7,0.8866,0.4673,0,1.6,0.3691,0.8218,35.5616,0
VH-00028,2022-03-02,2,Light,5328.9,107.4,0.8574,0.5336,2,1.1,0.8048,0.9691,38.0162,0
VH-00029,2023-10-23,22,Light,6287.5,150.3,0.8026,0.3985,1,3.1,0.1381,0.6873,26.3983,1
VH-00030,2023-02-25,14,Medium,2719.2,73.1,0.2296,0.5636,1,2.2,0.3011,0.6529,53.1889,0
VH-00031,2023-02-25,14,Heavy,2532.0,57.7,0.9142,0.2738,1,6.0,0.4489,0.6837,34.7203,0
VH-00032,2023-10-23,22,Heavy,6384.6,164.1,0.9665,0.4158,0,2.6,0.6138,0.598,6.9509,1
VH-00033,2022-01-31,1,Medium,4911.0,116.8,0.588,0.0975,0,3.9,0.4363,0.8208,47.0863,0
VH-00034,2022-05-01,4,Medium,4160.2,89.0,0.5917,0.2575,0,2.8,0.3783,0.7761,65.2182,0
VH-00035,2023-09-23,21,Medium,4516.7,82.1,0.8245,0.5855,0,4.5,0.7255,0.809,28.6905,0
VH-00036,2023-08-24,20,Light,920.9,42.0,0.8623,0.4638,0,4.7,0.4003,0.7313,45.4567,0
VH-00037,2022-03-02,2,Light,4214.2,105.2,0.6603,0.2374,0,1.3,0.8563,0.701,22.0243,0
VH-00038,2022-10-28,10,Medium,3370.4,101.9,0.8603,0.3763,0,3.2,0.8139,0.8189,55.2591,1
VH-00039,2022-01-01,0,Light,5877.1,163.1,0.8255,0.4622,1,5.2,0.2501,0.4594,22.2345,1
VH-00040,2022-08-29,8,Medium,5992.5,113.9,0.7851,0.7277,2,2.9,0.8895,0.7891,24.8316,1
VH-00041,2022-05-31,5,Medium,5365.0,100.0,0.9187,0.5329,0,8.8,0.5227,0.7488,30.4718,1
VH-00042,2022-09-28,9,Heavy,5093.2,70.2,0.8666,0.4812,1,7.8,0.5134,0.7324,36.7544,1
VH-00043,2023-10-23,22,Heavy,2254.0,63.9,0.5277,0.2015,1,22.6,0.4401,0.61,34.7637,0
VH-00044,2022-08-29,8,Medium,5386.0,129.5,0.8398,0.3932,0,7.1,0.6408,0.8885,24.8919,0
VH-00045,2023-09-23,21,Heavy,5444.1,122.4,0.7213,0.1361,0,1.0,0.5826,0.6459,49.9288,0
VH-00046,2022-01-01,0,Heavy,6367.8,123.1,0.5371,0.6557,0,11.5,0.9326,0.9148,33.6728,1
VH-00047,2022-05-01,4,Medium,7677.3,169.3,0.717,0.2167,1,1.7,0.6263,0.7839,42.5296,0
VH-00048,2023-06-25,18,Medium,1961.2,46.4,0.4088,0.2479,0,4.3,0.6774,0.8276,65.8311,0
VH-00049,2023-08-24,20,Medium,3917.3,98.8,0.7658,0.2422,1,14.9,0.3677,0.6024,34.1636,1
VH-00050,2023-06-25,18,Light,3386.6,79.4,0.8049,0.57,0,0.6,0.3286,0.8301,68.8223,0
VH-00051,2022-11-27,11,Light,4758.8,115.7,0.5733,0.0936,0,0.6,0.6856,0.7513,27.9604,1
VH-00052,2023-11-22,23,Light,4520.1,98.6,0.6919,0.4506,2,12.5,0.3143,0.8018,64.9897,0
VH-00053,2022-09-28,9,Heavy,4148.9,109.9,0.62,0.5835,0,1.8,0.2994,0.7545,64.779,0
VH-00054,2022-01-01,0,Medium,6041.4,143.7,0.7205,0.4262,0,4.3,0.5278,0.7284,63.8149,0
VH-00055,2022-01-01,0,Heavy,2847.9,45.5,0.6543,0.3428,0,1.8,0.7496,0.7976,37.3848,0
VH-00056,2023-09-23,21,Heavy,2938.3,86.1,0.559,0.7076,3,5.1,0.4264,0.8372,35.4718,0
VH-00057,2022-01-01,0,Medium,2963.7,84.2,0.7772,0.3142,3,1.2,0.7578,0.8419,70.6014,0
VH-00058,2022-03-02,2,Medium,3959.5,95.0,0.4663,0.4154,3,6.3,0.6183,0.6654,45.0855,0
VH-00059,2023-01-26,13,Light,2657.1,63.3,0.7192,0.3621,0,3.5,0.4285,0.9715,20.2042,0
VH-00060,2023-11-22,23,Light,4427.1,123.3,0.6536,0.3912,3,6.0,0.4832,0.6189,13.2124,1
VH-00061,2022-12-27,12,Medium,4251.8,70.0,0.9812,0.3833,1,14.0,0.4167,0.9673,43.5286,0
