feature,log_hazard_ratio,hazard_ratio,ci_95_low,ci_95_high,p_value
load_factor,0.6559391499462399,1.9269513641242733,1.8424025253334573,2.015380194416719,1.4544088088415064e-180
route_severity,0.4820765315245213,1.6194337182907985,1.5557936382759943,1.6856770097371512,8.153211801628276e-123
temperature_exposure,0.4338127122107435,1.5431298316761235,1.4846016318719844,1.6039654182557939,3.5850588464678995e-107
monthly_km,0.2620490811909053,1.2995903263049788,1.1854617524841313,1.4247064594756627,2.2990720354494386e-08
engine_hours_per_month,0.2137114320344667,1.2382652795398998,1.1296902096828216,1.3572755516262507,5.007010946363483e-06
service_delay_days,0.13154330778160886,1.140587302958587,1.0990784646763867,1.183663803342187,3.5293868991484426e-12
prior_repairs,0.12175454078246532,1.1294768272536755,1.0884634151140684,1.1720356289323115,1.1047763130864213e-10
vehicle_class_Medium,-0.2694297230866618,0.7638149561937095,0.699271467324684,0.8343158766898597,2.2114718886063867e-09
vehicle_class_Light,-0.36397439073315824,0.6949089906248116,0.6270513647099656,0.7701099661501459,3.843971687543194e-12
preventive_maintenance_score,-0.5676323866172406,0.5668659706009216,0.5460449630594827,0.5884808950985972,3.105260552508213e-194
