feature,correlation,p_value
monthly_km,0.009001661394922514,0.6414857394168063
engine_hours_per_month,0.008278776722815517,0.6684843914528703
load_factor,0.013032830035095692,0.5002128774907756
temperature_exposure,0.04307701205888827,0.02580037747922869
prior_repairs,0.037038100983183504,0.05530630781145586
service_delay_days,0.033053745560482725,0.08723257993723225
route_severity,0.03772707736008329,0.05092194998526194
preventive_maintenance_score,-0.003326421825237941,0.8633900209136176
vehicle_class_Light,0.006323410238553899,0.7436049904548842
vehicle_class_Medium,0.008802748195988358,0.6488696528825384
